PHI-base accession no	PHI-base accession	Obsolete PHI accession	DB_Type	Accession	Obsolete EMBL accession	Locus ID	AA sequence #no EMBL#	NT sequence #no EMBL#	Associated strain	Gene name	Genome location	Multiple mutation	Pathogen NCBI Taxonomy ID	Pathogen species	Strain	Disease name	Monocot/Dicot plant	Host NCBI Taxonomy ID	Experimental host	Function	GO annotation	Database	Pathway	Phenotype of mutant	Mating defect prior to penetration	Pre-penetration defect	Penetration defect	Post-penetration defect	Vegetative spores	Sexual spores	In vitro growth	Spore germination	Essential gene (Lethal knockout)	Inducer	CAS	Host target	Host response	Experimental evidence	Species Expert	Entered by	Manual (M) or textmining (T)	Literature ID	Literature source	DOI	Full citation	Author email	Comments	Reference	Year published
	PHI:47		Uniprot	Q00819		AAB06581	0	0	0	CAP64	0	0	5207	Cryptococcus neoformans	5207	B4131	Cryptococcosis	0	Mouse	Capsule formation	GO:0009405, IMP	GO	0	Loss of pathogenicity 	0	0	0	0	0	0	0	0	0	0	0	0	0	gene disruption; gene deletion; complementation	0	TKB; KHK		8675296	PubMed	0	0	0	0	Chang et al.	1996
	PHI:48		Uniprot	Q59J76		BAD91825   	0	0	T49	CnLAC1	0	0	5207	Cryptococcus neoformans	5207	B-4476 and E2	Cryptococcosis	0	Mouse	Laccase	GO:0009405, IMP	GO	0	Reduced virulence	0	0	0	0	0	0	0	0	0	0	0	0	0	gene disruption; complementation	0	TKB; KHK		8760791; 14977977	PubMed	0	0	0	gene disruption, with  complementation and  gene disruption, no complementation	Salas et al.	1996
	PHI:48		Uniprot	Q59J76		BAD91825   	0	0	T49	CnLAC1	0	0	5207	Cryptococcus neoformans	5207	ATCC 208819 (Serotype D)	Cryptococcosis	0	Nematode	Laccase	GO:0009405, IMP	GO	0	Reduced virulence	0	0	0	0	0	0	0	0	0	0	0	0	0	gene disruption; complementation	0	TKB; KHK		12438649	PubMed	10.1073/pnas.232568599	0	0	gene disruption, with  complementation and  gene disruption, no complementation	0	0
	PHI:48		Uniprot	Q59J76		BAD91825   	0	0	T49	CnLAC1	0	0	5207	Cryptococcus neoformans	178876	H99	Cryptococcosis	0	Galleria mellonella	0	GO:0009405, IMP	GO	0	Reduced virulence	0	0	0	0	0	0	0	0	0	0	0	0	0	gene disruption; complementation	AI	SH; KHK		15972469	PubMed	10.1128/IAI.73.7.3842-3850.2005	0	0	Tested in G.mellonella caterpillars in the final instar larval stage	0	0
	PHI:49		0	0		AAA67706	0	0	EP155	CPG1	0	0	5116	Cryphonectria parasitica	5116	EP155	Chesnut blight	Dicot	American Chestnut tree	G alpha protein subunit	GO:0009405, IMP	GO	0	Reduced virulence	0	No Data	No Data 	No Data	0	0	0	0	0	0	0	0	0	gene disruption	0	TKB		11038529	PubMed	0	0	0	0	Gao and Nuss	1996
	PHI:52		Uniprot	Q01168		AAB03415	0	0	GUY11	NUT1	0	0	318829	Magnaporthe oryzae	0	Guy11	Rice blast	Monocot	Rice	GATA transcription factor for nitrogen metabolism	0	0	0	Unaffected pathogenicity	0	0	0	0	0	0	0	0	0	0	0	0	0	gene disruption; complementation	0	MU		8757395	PubMed	0	0	0	partial gene disruption with complementation in A. nidulans	Froeliger and Carpenter	1996
	PHI:52		Uniprot	Q01168		AAB03415	0	0	GUY11	NUT1	0	0	318829	Magnaporthe oryzae	0	Guy11	Rice blast	Monocot	Barley	Global regulation of nitrogen utilisation	GO:0009405, IMP; 	GO	0	Reduced virulence	0	0	0	0	0	0	0	0	0	0	0	0	0	gene disruption	AS	AB; MU		11277427	PubMed	0	0	annie.osbourn@bbsrc.ac.uk	Fully pathogenic to leaves but no clear lesions on roots	Dufresne and Osbourn	2001
	PHI:53		Uniprot	Q6LD98		AAP19639	0	0	0	PDA1	conditionally dispensable (CD) chromosome	0	140110	Nectria haematococca (related: Fusarium solani)	140110	77-13-7	Root rot	Dicot	Pea	Pisatin demethylase	GO:0009405, IMP	GO	0	Reduced virulence	0	0	0	0	0	0	0	0	0	0	0	0	0	other evidence	0	MU; KHK		12925899	PubMed	10.1007/s00294-003-0428-x	Wasmann and VanEtten (1996) MOLECULAR PLANT-MICROBE INTERACTIONS 9 (9): 793-803	0	Expression during early infection stage (pisatin), different GC content, on a dispensable chromosome 	Wasmann and VanEtten	1996
	PHI:55		Uniprot	Q92217		AAB08104	0	0	C4	PKS1	0	0	5016	Cochliobolus heterostrophus	5016	C4	Leaf blight	Monocot	Maize	Polyketide synthase	GO:0009405, IMP; GO:0044412	GO	T-toxin production	Reduced virulence	0	No	No	Yes	0	0	0	0	0	0	0	0	0	gene disruption	0	MU		8953776	PubMed	10.1105/tpc.8.11.2139	0	0	0	Yang et al.	1996
	PHI:56		Uniprot	Q92246		AAC49521	0	0	Guy11	PMK1	0	0	318829	Magnaporthe oryzae	0	Guy11	Rice blast	Monocot	Rice	MAP kinase	GO:0009405, IMP; GO:0044409, IMP; GO:0044412, IMP; GO:0004707, IMP	GO	0	Loss of pathogenicity 	0	Yes	Yes	Yes	Wild type	Sterile	0	0	0	0	0	0	0	gene deletion; complementation	0	MU		8946911; 11006342	PubMed	0	0	0	FUS3/KSS1 homologue; gene deletion, with complementation in S. cerevisiae	Xu and Hamer	1996
	PHI:57		Uniprot	Q99101		AAC32736	0	0	FBD11	PRF1	0	0	5270	Ustilago maydis	5270	FB1, FB2	Corn smut	Monocot	Maize	Transcription factor	GO:0009405, IMP	GO	0	Loss of pathogenicity 	Yes	See publication	See publication	See publication	0	0	0	0	0	0	0	0	0	gene disruption	0	MU		8612587; 10402430 	PubMed	0	0	0	0	Hartmann et al.	1996
	PHI:58		Uniprot	Q00455		BAA13009	0	0	104-T	SCD1	0	0	5462	Colletotrichum lagenarium	5462	9201Y	Anthracnose	Dicot	Cucumber	Scytalone dehydratase 	GO:0009405, IMP; GO:0044409, IMP, GO:0030411, NAS	GO	Melanin biosynthesis	Reduced virulence	0	Yes	Yes	No Data	0	0	0	0	0	0	0	0	0	gene deletion; complementation	0	MU; KHK		8953707	PubMed	0	0	0	melanin mutant complemented with wild-type gene sequence	Kubo et al.	1996
	PHI:59		Uniprot	P87025		BAA18962	0	0	104-T	THR1	0	0	5462	Colletotrichum lagenarium	5462	104-T	Anthracnose	Dicot	Cucumber	Reductase	GO:0009405, IMP; GO:0044409	GO	Melanin biosynthesis	Reduced virulence	0	Yes	Yes	See publication	0	0	0	0	0	0	0	0	0	gene disruption	0	MU; KHK		8672814	PubMed	0	0	0	0	Perpetua et al.	1996
	PHI:60		Uniprot	Q00357		AAB36607	0	0	SB111a	TOXA	0	0	5017	Cochliobolus carbonum	5017	0	Leaf spot	Monocot	Maize	Toxin Pump	0	0	toxin secretion	Lethal	0	0	0	0	0	0	0	0	0	0	0	0	0	gene disruption	0	MU; JA		8704997	PubMed	0	0	0	0	Pitkin et al.	1996
	PHI:61		Uniprot	P43070		AAA21151	0	0	ATCC 10261	BGL2	0	0	5476	Candida albicans	5476	CAI-4	Candidiasis	0	Mouse	Cell wall 1,3-beta-glucosyltransferase (bgl2p)	GO:0009405, IMP	GO	0	Reduced virulence	0	0	0	0	0	0	0	0	0	0	0	0	0	gene disruption; complementation	0	TKB		9043114	PubMed	0	0	0	0	Sarthy et al.	1997
	PHI:62		Uniprot	P52498		AAB81286	0	0	B792	caRSR1	0	0	5476	Candida albicans	5476	CAI-4	Candidiasis	0	Mouse	Cell morphogenesis	GO:0009405, IMP	GO	0	Reduced virulence	0	0	0	0	0	0	Reduced	reduced	0	0	0	0	0	gene disruption; complementation	0	TKB		9308185	PubMed	0	0	0	0	Yaar et al.	1997
	PHI:65		Uniprot	O14435		AAC49838	0	0	EP155	CPGB-1	0	0	5116	Cryphonectria parasitica	5116	EP155	Chesnut blight	Dicot	American Chestnut tree	G beta protein subunit	GO:0009405, IMP	GO	0	Reduced virulence	0	No Data	No Data	No Data	Reduced	0	0	0	0	0	0	0	0	gene disruption	0	TKB		9353946	PubMed	0	0	0	0	Kasahara et al.	1997
	PHI:66		Uniprot	P43078		AAC05307	0	0	0	CPP1	0	0	5476	Candida albicans	5476	CAI-4	Candidiasis	0	Mouse	Tyrosine phosphatase	GO:0009405, IMP	GO	VH1 dual specificity protein phosphatase	Reduced virulence	0	0	0	0	0	0	Reduced	0	0	0	0	0	0	gene disruption; complementation	0	TKB		9398674; 9890266 	PubMed	0	0	0	0	Csank et al. 	1997
	PHI:67		Uniprot	P43068		CAA54129	0	0	1001 (ATCC 64385)	MKC1	0	0	5476	Candida albicans	5476	CAI-4	Candidiasis	0	Mouse	MAP kinase	GO:0009405, IMP	GO	0	Reduced virulence	0	0	0	0	0	0	0	0	0	0	0	0	0	gene disruption; complementation	0	TKB		9009353; 9493378; 16179009	PubMed	10.1111/j.1365-3083.2005.01657.x	0	0	SLT2 homologue	DiezOrejas et al.	1997
	PHI:68		Uniprot	P0CY26		AAA34368	0	0	SS	SAP1	0	0	5476	Candida albicans	5476	CAI-4	Candidiasis	0	Mouse	Aspartyl proteinase	GO:0009405, IMP	GO	0	Reduced virulence	0	0	0	0	0	0	0	0	0	0	0	0	0	gene disruption	0	TKB		9284116; 9485603; 9529523; 9841840; 10569785; 10540295 	PubMed	0	0	0	0	Hube et al.	1997
	PHI:68		Uniprot	P0CY26		AAA34368	0	0	SS	SAP1	0	0	5476	Candida albicans	5476	CAI-4	Candidiasis	0	Guinea pig	Aspartyl proteinase	GO:0009405, IMP	GO	0	Reduced virulence	0	0	0	0	0	0	0	0	0	0	0	0	0	gene disruption	0	TKB		9284116; 9485603; 9529523; 9841840; 10569785; 10540295 	PubMed	0	0	0	0	Hube et al.	1997
	PHI:69		Uniprot	Q00298		CAA93255	0	0	SAS56	CUTA	0	PHI:541	40559	Botrytis cinerea	40559	B05.10	Grey mold rot	Dicot	Bean	Cutinase	0	0	0	Unaffected pathogenicity	0	0	0	0	0	0	0	0	0	0	0	0	0	gene disruption	JVK	SH		0	Not in PubMed	0	Reis et al. (2005) MOLECULAR PLANT PATHOLOGY, 6(3) 257-267	0	Phaseolus vulgaris cv. Hiltrud	0	0
	PHI:69		Uniprot	Q00298		CAA93255	0	0	SAS56	CUTA	0	PHI:541	40559	Botrytis cinerea	40559	B05.10	Grey mold rot	Dicot	Carnation	Cutinase	0	0	0	Unaffected pathogenicity	0	0	0	0	0	0	0	0	0	0	0	0	0	gene disruption	JVK	SH		0	Not in PubMed	0	Reis et al. (2005) MOLECULAR PLANT PATHOLOGY, 6(3) 257-267	0	0	0	0
	PHI:69		Uniprot	Q00298		CAA93255	0	0	SAS56	CUTA	0	0	40559	Botrytis cinerea	40559	B05.10	Grey mold rot	Dicot	Gerbera	Cutinase	0	0	0	Unaffected pathogenicity	NA	No	No	No	0	0	0	0	0	0	0	0	0	gene disruption	0	TKB; KHK		9002270	PubMed	0	0	0	Tested on gerbera flowers	Van Kan et al.	1997
	PHI:69		Uniprot	Q00298		CAA93255	0	0	SAS56	CUTA	0	0	40559	Botrytis cinerea	40559	B05.10	Grey mold rot	Dicot	Tomato	Cutinase	0	0	0	Unaffected pathogenicity	NA	No	No	No	0	0	0	0	0	0	0	0	0	gene disruption	0	TKB; KHK		9002270	PubMed	0	0	0	Tested on tomato fruits.	Van Kan et al.	1997
	PHI:69		Uniprot	Q00298		CAA93255	0	0	SAS56	CUTA	0	PHI:541	40559	Botrytis cinerea	40559	B05.10	Grey mold rot	Dicot	Gerbera	Cutinase	0	0	0	Unaffected pathogenicity	0	0	0	0	0	0	0	0	0	0	0	0	0	gene disruption	JVK	SH		0	Not in PubMed	0	Reis et al. (2005) MOLECULAR PLANT PATHOLOGY, 6(3) 257-267	0	0	0	0
	PHI:69		Uniprot	Q00298		CAA93255	0	0	SAS56	CUTA	0	PHI:541	40559	Botrytis cinerea	40559	B05.10	Grey mold rot	Dicot	Tomato	Cutinase	0	0	0	Unaffected pathogenicity	0	0	0	0	0	0	0	0	0	0	0	0	0	gene disruption	JVK	SH		0	Not in PubMed	0	Reis et al. (2005) MOLECULAR PLANT PATHOLOGY, 6(3) 257-267	0	Tomato cv. Paradiser	0	0
	PHI:70		Uniprot	Q00364		CAA78400	0	0	race 5	ECP1	0	0	5499	Cladosporium fulvum	5499	race 5	Leaf mold	Dicot	Tomato	Extracellular Protein 	GO:0009405, IMP	GO	0	Reduced virulence	0	0	0	0	0	Reduced	0	0	0	0	0	0	0	gene deletion	0	TKB; KHK		0894-0282	WoS	0	Lauge et al. (1997) MOLECULAR PLANT MICROBE INTERACTIONS 10 (6): 725-734	0	0	Laugé et al.	1997
