Record ID	PHI_MolConn_ID	IdentifierTypeOfProteinID	ProteinID	IdentifierTypeOfGeneLocusID	GeneLocusID	AA sequence #no EMBL#	NT sequence #no EMBL#	Genomic sequence providing strain	Gene_name	Genome location	Specific modification/s to the targeted protein or promoter	Accession ID for the modified genetic element  	Known interacting protein(s) in the pathogen	Interacting protein - locus ID 	Multiple_mutation	Pathogen_NCBI_species_Taxonomy ID	Pathogen_species	Pathogen_NCBI_strain_Taxonomy_ID	Experimental_strain	Disease_name	Host_descripton	Host_NCBI_Taxonomy_ID	Experimental_host_species	Host_strain_genotype_or cultivar_taxonomy_ID_NCBI	HostGenotype_definedGene of interest	HostGenotype_definedGene of interest _AccessionID	tissue_type	Function	GO_annotation	Database	Pathway_secretion_systems	Phenotype_of_mutant	Mating_defect_prior_to_penetration	Pre_penetration_defect	Penetration_defect	Post_penetration_defect	Disease_development_macroscopically_visible	Vegetative_spores	Sexual_spores	In_vitro_growth	Spore_germination	Essential_gene_Lethal_knockout	Inducer	ChemicalAccession (Chebi/CAS)	Tested Host_target	TestedHostTarget_AccessionID	Interaction phenotype	Host_response	Experimental_evidence	Transient Assay Experimental Evidence	Species_Expert	Entered_by	Literature_ID	Literature_source	DOI	Full_citation	Author_email	Comments	Reference 	Year_published	Curation details	File_name_pdf_files_provided	_batch_no_	Curated(Month/Year)	_curator_organisation_	__lab__	__FG_mycotoxin__	Additional IdentifierTypeOfGeneLocusID	Additional GeneLocusID	Anti-infective (Chemical)	Compound	Target site	Group name	Chemical group	Mode in planta	FRAC CODE	Additional comments  on anti-infectives	phi3_pars											
Record 15	PHI:27	Uniprot	Q00368	EMBL	AAA77678				CAP20							474922	Colletotrichum gloeosporioides (related: Glomerella cingulata)		Not defined	Anthracnose	Eudicots	4081	Solanum lycopersicum (related: Tomato)					Appressorial wall	"GO:0009405, IMP; GO:0044409"	GO		Loss of pathogenicity 		No	Yes	No							avocado surface wax						gene disruption			TKB; JK	7756829	PubMed				"Expression during host surface growth, invasion"	Hwang et al.	1995			PHI-base Vers.3.3		Rres																								
Record 16	PHI:27	Uniprot	Q00368	EMBL	AAA77678				CAP20							474922	Colletotrichum gloeosporioides (related: Glomerella cingulata)		Not defined	Anthracnose	Flowering plants	3435	Persea americana (related: Avocado)					Appressorial wall	"GO:0009405, IMP; GO:0044409"	GO		Loss of pathogenicity 		No	Yes	No							avocado surface wax						gene disruption			TKB; JK	7756829	PubMed				"Tested on avocado fruits. Expression during host surface growth, invasion"	Hwang et al.	1995			PHI-base Vers.3.3		Rres																								
Record 17	PHI:31	Uniprot	P30573	EMBL	BAA02707			IFO1060	CHS3							5476	Candida albicans	5476	CAI-4	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					Chitin Synthase	"GO:0009405, IMP"	GO		Reduced virulence																	gene disruption			TKB	7479842	PubMed					Bulawa et al.	1995			PHI-base Vers.3.3		Rres																								
Record 18	PHI:33	Uniprot	P43076	EMBL	AAA68196			SC5314	PHR1							5476	Candida albicans	5476	CAF3-1	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					Membrane protein; pH responsive protein	"GO:0009405, IMP"	GO		Reduced virulence																	gene disruption			TKB	7591097; 7823929	PubMed					Ghannoum et al.	1995			PHI-base Vers.3.3		Rres																								
Record 19	PHI:35	Uniprot	O13337	EMBL	AAB69694			Guy11	CON7							318829	Magnaporthe oryzae		Guy11	Rice blast	Monocots	4530	Oryza sativa (related: Rice)					Transcription factor	"GO:0009405, IMP"	GO		Reduced virulence																	other evidence			MU		Not in PubMed		Shi et al. (1995) MOLECULAR PLANT-MICROBE INTERACTIONS 8 (6): 949-959		Sequence of rescued plasmid insertion	Shi and Leung	1995			PHI-base Vers.3.3		Rres																								
Record 20	PHI:36	Uniprot	Q01143	EMBL	AAA93199				CPKA							318829	Magnaporthe oryzae	242507	70-15	Rice blast	Monocots	4530	Oryza sativa (related: Rice)					PKA catalytic subunit	"GO:0009405, IMP; GO:0044409, IMP; GO:0044412, IMP"	GO	cAMP signalling	Loss of pathogenicity 		Yes	Yes 	Yes		Wild type	Wild type	Wild type	Wild type								gene deletion			MU	8535140; 11006342 	PubMed	10.1105/tpc.7.11.1869			"mutations in CPKA, are specific for pathogenicity, with deletion mutants of cpkA showing impaired appressorial penetration but efficient sporulation and mating"	Mictchell and Dean	1995			PHI-base Vers.3.3		Rres																								
Record 21	PHI:37	Uniprot	Q99129	EMBL	AAC37439			518	MYP1							5270	Ustilago maydis	5270	"518, 521"	Corn smut	Monocots	4577	Zea mays (related: Maize)					Mycelial Development	"GO:0009405, IMP"	GO		Reduced virulence	No	No Data	No Data	No Data													gene deletion			TKB	8647387	PubMed					Giasson and Kronstad	1995			PHI-base Vers.3.3		Rres																								
Record 22	PHI:38	Uniprot	Q02039	EMBL	AAA86496			US238.1	NIP1							38038	Rhynchosporium secalis	38038		Scald/leaf blotch	Monocots	112509	Hordeum vulgare subsp. vulgare (related: Domesticated barley)					Effector protein				Effector (plant avirulence determinant)																	other evidence			MU	7556057; 10497070; 12944393; 15497404	PubMed	10.1074/jbc.M308304200				Rohe et al.	1995			PHI-base Vers.3.3		Rres																								
Record 23	PHI:39	Uniprot	Q6Q475	EMBL	AAS60096				GP42 (PEP13)							67593	Phytophthora sojae	67593		Root rot	Eudicots	4043	Petroselinum crispum (related: Parsley)					transglutaminase	"GO:0003810, IDA"	GO		Unaffected pathogenicity																	other evidence		SK	MU; SH	7892267; 12485989	PubMed				previously known as Phytophthora megasperma f. sp. glycinea	Nurnberger et al.	1995			PHI-base Vers.3.3		Rres																								
Record 24	PHI:40	Uniprot	P79068	EMBL	BAA18956			104-T	PKS1							5462	Colletotrichum lagenarium	5462	104-T	Anthracnose	Eudicots	3659	Cucumis sativus (related: Cucumber)					Polyketide synthase	"GO:0009405, IMP; GO:0044409, IMP; GO:0042438"	GO	Melanin biosynthesis	Reduced virulence		Yes	Yes	No													complementation			MU	7500937; 10501004	PubMed				Gene complementation in A.oryzae	Takano et al.	1995			PHI-base Vers.3.3		Rres																								
Record 25	PHI:41	Uniprot	Q01145	EMBL	AAA80239				PWL1							318829	Magnaporthe oryzae			Rice blast	Monocots	4530	Oryza sativa (related: Rice)					Effector protein				Effector (plant avirulence determinant)																	complementation			TKB; MU	8664503	PubMed					Kang et al.	1995			PHI-base Vers.3.3		Rres																								
Record 26	PHI:42	Uniprot	Q01144	EMBL	AAA91019			4392-1-6	PWL2							318829	Magnaporthe oryzae		4392-1-6	Rice blast	Monocots	4530	Oryza sativa (related: Rice)					Effector protein				Effector (plant avirulence determinant)																	complementation			MU	7549480	PubMed	10.1105/tpc.7.8.1221			Transfer into other strains by crossing	Sweigard et al.	1995			PHI-base Vers.3.3		Rres																								
Record 27	PHI:44	Uniprot	Q8NJV0	EMBL	AAM90953			A18	TRI5							5518	Fusarium graminearum (related: Gibberella zeae)	229533	GZ3639	Fusarium ear blight	Monocots	4498	Avena sativa (related: Oat)					Trichodiene synthase	GO:0045482	GO		Unaffected pathogenicity		No	No	No													gene disruption; gene complementation			MU; AB	8589414; 9274012; 10931910	PubMed				Porter cultivar	Proctor et al.	1995			PHI-base Vers.3.3		Rres																								
Record 28	PHI:44	Uniprot	Q8NJV0	EMBL	AAM90953			A18	TRI5							5518	Fusarium graminearum (related: Gibberella zeae)	229533	GZ3639	Fusarium ear blight	Monocots	4564	Triticum (related: Wheat)					Trichodiene synthase	GO:0045482	GO		Unaffected pathogenicity		No	No	No													gene disruption; gene complementation			MU; AB	8589414; 9274012; 10931910	PubMed				Caldwell cultivar	Proctor et al.	1995			PHI-base Vers.3.3		Rres																								
Record 29	PHI:44	Uniprot	Q8NJV0	EMBL	AAM90953			A18	TRI5							5518	Fusarium graminearum (related: Gibberella zeae)	229533	GZ3639	Fusarium ear blight	Monocots	4564	Triticum (related: Wheat)					Trichodiene synthase	GO:0045482	GO		Unaffected pathogenicity		No	No	No													gene disruption; gene complementation			MU; AB	8589414; 9274012; 10931910	PubMed				Marshall cultivar	Proctor et al.	1995			PHI-base Vers.3.3		Rres																								
Record 30	PHI:44	Uniprot	Q8NJV0	EMBL	AAM90953			A18	TRI5							5518	Fusarium graminearum (related: Gibberella zeae)	229533	GZ3639	Fusarium ear blight	Monocots	4550	Secale cereale (related: Rye)					Trichodiene synthase	"GO:0009405, IMP; GO:0044412; GO:0045482"	GO		Reduced virulence		No	No	Yes													gene disruption; gene complementation			MU; AB	8589414; 9274012; 10931910	PubMed					Proctor et al.	1995			PHI-base Vers.3.3		Rres																								
Record 31	PHI:44	Uniprot	Q8NJV0	EMBL	AAM90953			A18	TRI5							5518	Fusarium graminearum (related: Gibberella zeae)	229533	GZ3639	Fusarium ear blight	Monocots	4577	Zea mays (related: Maize)					Trichodiene synthase	GO:0045482	GO		Unaffected pathogenicity		No	No	No													gene disruption; gene complementation			MU; AB	8589414; 9274012; 10931910	PubMed					Proctor et al.	1995			PHI-base Vers.3.3		Rres																								
Record 32	PHI:44	Uniprot	Q8NJV0	EMBL	AAM90953			A18	TRI5							5518	Fusarium graminearum (related: Gibberella zeae)	229533	GZ3639	Fusarium ear blight	Monocots	4564	Triticum (related: Wheat)					Trichodiene synthase	"GO:0009405, IMP; GO:0044412; GO:0045482"	GO		Reduced virulence		No	No	Yes													gene disruption; gene complementation			MU; AB	8589414; 9274012; 10931910	PubMed				Wheaton cultivar	Proctor et al.	1995			PHI-base Vers.3.3		Rres																								
Record 33	PHI:44	Uniprot	Q8NJV0	EMBL	AAM90953			A18	TRI5							5518	Fusarium graminearum (related: Gibberella zeae)	229533	PH-1	Fusarium ear blight	Eudicots	3702	Arabidopsis thaliana (related: Thale cress)					Trichodiene synthase		GO		Unaffected pathogenicity																	gene deletion; biochemical analysis			AB; AC	18179606	PubMed	10.1111/j.1469-8137.2007.02333.x	Cuzick et al. (2008) New Phytologist 177(4): 990-1000	kim.hammond-kosack@bbsrc.ac.uk		Cuzick et al.	2008			PHI-base Vers.3.3		Rres																								
Record 34	PHI:47	Uniprot	Q00819	EMBL	AAB06581				CAP64							5207	Cryptococcus neoformans	5207	B4131	Cryptococcosis	Rodents	10090	Mus musculus (related: House mouse)					Capsule formation	"GO:0009405, IMP"	GO		Loss of pathogenicity 																	gene disruption; gene deletion; gene complementation			TKB; KHK	8675296	PubMed					Chang et al.	1996			PHI-base Vers.3.3		Rres																								
Record 35	PHI:48	Uniprot	Q59J76	EMBL	BAD91825   			T49	CnLAC1							5207	Cryptococcus neoformans	5207	B-4476 and E2	Cryptococcosis	Rodents	10090	Mus musculus (related: House mouse)					Laccase	"GO:0009405, IMP"	GO		Reduced virulence																	gene disruption; gene complementation			TKB; KHK	8760791; 14977977	PubMed				"gene disruption, with  complementation and  gene disruption, no complementation"	Salas et al.	1996			PHI-base Vers.3.3		Rres																								
Record 36	PHI:48	Uniprot	Q59J76	EMBL	BAD91825   			T49	CnLAC1							5207	Cryptococcus neoformans	5207	ATCC 208819 (Serotype D)	Cryptococcosis	Nematodes	6239	Caenorhabditis elegans (related: Roundworm)					Laccase	"GO:0009405, IMP"	GO		Reduced virulence																	gene disruption; gene complementation			TKB; KHK	12438649	PubMed	10.1073/pnas.232568599			"gene disruption, with  complementation and  gene disruption, no complementation"					PHI-base Vers.3.3		Rres																								
Record 37	PHI:48	Uniprot	Q59J76	EMBL	BAD91825   			T49	CnLAC1							5207	Cryptococcus neoformans	178876	H99	Cryptococcosis	Moths	7137	Galleria mellonella (related: Greater wax moth)						"GO:0009405, IMP"	GO		Reduced virulence																	gene disruption; gene complementation		AI	SH; KHK	15972469	PubMed	10.1128/IAI.73.7.3842-3850.2005			Tested in G.mellonella caterpillars in the final instar larval stage					PHI-base Vers.3.3		Rres																								
Record 38	PHI:49	Uniprot	Q00580	EMBL	AAA67706			EP155	CPG1							5116	Cryphonectria parasitica	5116	EP155	Chesnut blight	Eudicots	134033	Castanea dentata (related: American chestnut)					G alpha protein subunit	"GO:0009405, IMP"	GO		Reduced virulence		No Data	No Data 	No Data													gene disruption			TKB	11038529	PubMed					Gao and Nuss	1996			PHI-base Vers.3.3		Rres																								
Record 39	PHI:52	Uniprot	Q01168	EMBL	AAB03415			GUY11	NUT1							318829	Magnaporthe oryzae		Guy11	Rice blast	Monocots	4530	Oryza sativa (related: Rice)					GATA transcription factor for nitrogen metabolism				Unaffected pathogenicity																	gene disruption; gene complementation			MU	8757395	PubMed				partial gene disruption with complementation in A. nidulans	Froeliger and Carpenter	1996			PHI-base Vers.3.3		Rres																								
Record 40	PHI:52	Uniprot	Q01168	EMBL	AAB03415			GUY11	NUT1							318829	Magnaporthe oryzae		Guy11	Rice blast	Monocots	112509	Hordeum vulgare subsp. vulgare (related: Domesticated barley)					Global regulation of nitrogen utilisation	"GO:0009405, IMP; "	GO		Reduced virulence																	gene disruption		AS	AB; MU	11277427	PubMed			annie.osbourn@bbsrc.ac.uk	Fully pathogenic to leaves but no clear lesions on roots	Dufresne and Osbourn	2001			PHI-base Vers.3.3		Rres																								
Record 41	PHI:53	Uniprot	Q6LD98	EMBL	AAP19639				PDA1	conditionally dispensable (CD) chromosome						140110	Nectria haematococca		77-13-7	Root rot	Eudicots	3888	Pisum sativum (related: Pea)					Pisatin demethylase	"GO:0009405, IMP"	GO		Reduced virulence																	other evidence			MU; KHK	12925899	PubMed	10.1007/s00294-003-0428-x	Wasmann and VanEtten (1996) MOLECULAR PLANT-MICROBE INTERACTIONS 9 (9): 793-803		"Expression during early infection stage (pisatin), different GC content, on a dispensable chromosome "	Wasmann and VanEtten	1996			PHI-base Vers.3.3		Rres																								
Record 42	PHI:55	Uniprot	Q92217	EMBL	AAB08104			C4	PKS1							5016	Cochliobolus heterostrophus	5016	C4	Leaf blight	Monocots	4577	Zea mays (related: Maize)					Polyketide synthase	"GO:0009405, IMP; GO:0044412"	GO	T-toxin production	Reduced virulence		No	No	Yes													gene disruption			MU	8953776	PubMed	10.1105/tpc.8.11.2139				Yang et al.	1996			PHI-base Vers.3.3		Rres																								
Record 43	PHI:56	Uniprot	Q92246	EMBL	AAC49521			Guy11	PMK1							318829	Magnaporthe oryzae		Guy11	Rice blast	Monocots	4530	Oryza sativa (related: Rice)					MAP kinase	"GO:0009405, IMP; GO:0044409, IMP; GO:0044412, IMP; GO:0004707, IMP"	GO		Loss of pathogenicity 		Yes	Yes	Yes		Wild type	Sterile										gene deletion; gene complementation			MU	8946911; 11006342	PubMed				"FUS3/KSS1 homologue; gene deletion, with complementation in S. cerevisiae"	Xu and Hamer	1996			PHI-base Vers.3.3		Rres																								
Record 44	PHI:57	Uniprot	Q99101	EMBL	AAC32736			FBD11	PRF1							5270	Ustilago maydis	5270	"FB1, FB2"	Corn smut	Monocots	4577	Zea mays (related: Maize)					Transcription factor	"GO:0009405, IMP"	GO		Loss of pathogenicity 	Yes	See publication	See publication	See publication													gene disruption			MU	8612587; 10402430 	PubMed					Hartmann et al.	1996			PHI-base Vers.3.3		Rres																								
Record 45	PHI:58	Uniprot	Q00455	EMBL	BAA13009			104-T	SCD1							5462	Colletotrichum lagenarium	5462	9201Y	Anthracnose	Eudicots	3659	Cucumis sativus (related: Cucumber)					Scytalone dehydratase 	"GO:0009405, IMP; GO:0044409, IMP, GO:0030411, NAS"	GO	Melanin biosynthesis	Reduced virulence		Yes	Yes	No Data													gene deletion; gene complementation			MU; KHK	8953707	PubMed				melanin mutant complemented with wild-type gene sequence	Kubo et al.	1996			PHI-base Vers.3.3		Rres																								
Record 46	PHI:59	Uniprot	P87025	EMBL	BAA18962			104-T	THR1							5462	Colletotrichum lagenarium	5462	104-T	Anthracnose	Eudicots	3659	Cucumis sativus (related: Cucumber)					Reductase	"GO:0009405, IMP; GO:0044409"	GO	Melanin biosynthesis	Reduced virulence		Yes	Yes	See publication													gene disruption			MU; KHK	8672814	PubMed					Perpetua et al.	1996			PHI-base Vers.3.3		Rres																								
Record 47	PHI:60	Uniprot	Q00357	EMBL	AAB36607			SB111a	TOXA							5017	Cochliobolus carbonum	5017		Leaf spot	Monocots	4577	Zea mays (related: Maize)					Toxin Pump			toxin secretion	Lethal																	gene disruption			MU; JA	8704997	PubMed					Pitkin et al.	1996			PHI-base Vers.3.3		Rres																								
Record 48	PHI:61	Uniprot	P43070	EMBL	AAA21151			ATCC 10261	BGL2							5476	Candida albicans	5476	CAI-4	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					"Cell wall 1,3-beta-glucosyltransferase (bgl2p)"	"GO:0009405, IMP"	GO		Reduced virulence																	gene disruption; gene complementation			TKB	9043114	PubMed					Sarthy et al.	1997			PHI-base Vers.3.3		Rres																								
Record 49	PHI:62	Uniprot	P52498	EMBL	AAB81286			B792	caRSR1							5476	Candida albicans	5476	CAI-4	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					Cell morphogenesis	"GO:0009405, IMP"	GO		Reduced virulence								Reduced	reduced								gene disruption; gene complementation			TKB	9308185	PubMed					Yaar et al.	1997			PHI-base Vers.3.3		Rres																								
Record 50	PHI:65	Uniprot	O14435	EMBL	AAC49838			EP155	CPGB-1							5116	Cryphonectria parasitica	5116	EP155	Chesnut blight	Eudicots	134033	Castanea dentata (related: American chestnut)					G beta protein subunit	"GO:0009405, IMP"	GO		Reduced virulence		No Data	No Data	No Data		Reduced											gene disruption			TKB	9353946	PubMed					Kasahara et al.	1997			PHI-base Vers.3.3		Rres																								
Record 51	PHI:66	Uniprot	P43078	EMBL	AAC05307				CPP1							5476	Candida albicans	5476	CAI-4	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					Tyrosine phosphatase	"GO:0009405, IMP"	GO	VH1 dual specificity protein phosphatase	Reduced virulence								Reduced									gene disruption; gene complementation			TKB	9398674; 9890266 	PubMed					Csank et al. 	1997			PHI-base Vers.3.3		Rres																								
Record 52	PHI:67	Uniprot	P43068	EMBL	CAA54129			1001 (ATCC 64385)	MKC1							5476	Candida albicans	5476	CAI-4	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					MAP kinase	"GO:0009405, IMP"	GO		Reduced virulence																	gene disruption; gene complementation			TKB	9009353; 9493378; 16179009	PubMed	10.1111/j.1365-3083.2005.01657.x			SLT2 homologue	DiezOrejas et al.	1997			PHI-base Vers.3.3		Rres																								
Record 53	PHI:68	Uniprot	P0CY26	EMBL	AAA34368			SS	SAP1							5476	Candida albicans	5476	CAI-4	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					Aspartyl proteinase	"GO:0009405, IMP"	GO		Reduced virulence																	gene disruption			TKB	9284116; 9485603; 9529523; 9841840; 10569785; 10540295 	PubMed					Hube et al.	1997			PHI-base Vers.3.3		Rres																								
Record 54	PHI:68	Uniprot	P0CY26	EMBL	AAA34368			SS	SAP1							5476	Candida albicans	5476	CAI-4	Candidiasis	Rodents	10141	Cavia porcellus (related: Guinea pig)					Aspartyl proteinase	"GO:0009405, IMP"	GO		Reduced virulence																	gene disruption			TKB	9284116; 9485603; 9529523; 9841840; 10569785; 10540295 	PubMed					Hube et al.	1997			PHI-base Vers.3.3		Rres																								
Record 55	PHI:69	Uniprot	Q00298	EMBL	CAA93255			SAS56	CUTA						PHI:541	40559	Botrytis cinerea	332648	B05.10	Grey mould	Eudicots	3885	Phaseolus vulgaris (related: String bean)					Cutinase				Unaffected pathogenicity																	gene disruption		JVK	SH		Not in PubMed		"Reis et al. (2005) MOLECULAR PLANT PATHOLOGY, 6(3) 257-267"		Phaseolus vulgaris cv. Hiltrud					PHI-base Vers.3.3		Rres																								
Record 56	PHI:69	Uniprot	Q00298	EMBL	CAA93255			SAS56	CUTA						PHI:541	40559	Botrytis cinerea	332648	B05.10	Grey mould	Eudicots	3570	Dianthus caryophyllus (related: Clove pink)					Cutinase				Unaffected pathogenicity																	gene disruption		JVK	SH		Not in PubMed		"Reis et al. (2005) MOLECULAR PLANT PATHOLOGY, 6(3) 257-267"							PHI-base Vers.3.3		Rres																								
